NAME,B01003_001E,B19013_001E,B25046_001E,B08126_001E,B08301_001E,state,county,tract
Census Tract 4035; Los Angeles County; California,1497,109038,1227,705,705,06,037,403500
Census Tract 4036.01; Los Angeles County; California,7006,108406,5433,3395,3395,06,037,403601
Census Tract 4037.02; Los Angeles County; California,4084,116594,3115,2024,2024,06,037,403702
Census Tract 4037.03; Los Angeles County; California,4707,119667,3525,1990,1990,06,037,403703
Census Tract 4037.21; Los Angeles County; California,5469,82708,3988,2716,2716,06,037,403721
Census Tract 4037.22; Los Angeles County; California,5430,68455,3371,2699,2699,06,037,403722
Census Tract 4038.01; Los Angeles County; California,5653,84135,4116,3117,3117,06,037,403801
Census Tract 4038.02; Los Angeles County; California,6547,84455,4466,3086,3086,06,037,403802
Census Tract 4039.01; Los Angeles County; California,3091,107368,2266,1459,1459,06,037,403901
Census Tract 4039.02; Los Angeles County; California,5232,103929,3315,2236,2236,06,037,403902
Census Tract 4040; Los Angeles County; California,4696,97250,3121,2604,2604,06,037,404000
Census Tract 4041; Los Angeles County; California,6270,71575,4007,2993,2993,06,037,404100
Census Tract 4042.01; Los Angeles County; California,3419,62841,1979,1648,1648,06,037,404201
Census Tract 4042.03; Los Angeles County; California,4309,75333,2110,2046,2046,06,037,404203
Census Tract 4043.01; Los Angeles County; California,5920,67716,3358,2690,2690,06,037,404301
Census Tract 4043.02; Los Angeles County; California,2202,83523,1643,1059,1059,06,037,404302
Census Tract 4044.01; Los Angeles County; California,3807,92250,2406,1990,1990,06,037,404401
Census Tract 4044.02; Los Angeles County; California,4623,90400,3210,2392,2392,06,037,404402
Census Tract 4045.01; Los Angeles County; California,2786,59648,1651,1396,1396,06,037,404501
Census Tract 4045.03; Los Angeles County; California,2875,86417,1737,1392,1392,06,037,404503
Census Tract 4045.04; Los Angeles County; California,5291,72000,2445,3020,3020,06,037,404504
Census Tract 4046; Los Angeles County; California,1343,101181,1116,684,684,06,037,404600
Census Tract 4047.01; Los Angeles County; California,5646,92946,3611,2507,2507,06,037,404701
Census Tract 4047.02; Los Angeles County; California,4807,69157,3169,2271,2271,06,037,404702
Census Tract 4047.03; Los Angeles County; California,3189,79875,1688,1482,1482,06,037,404703
Census Tract 4048.04; Los Angeles County; California,4487,78750,2766,2011,2011,06,037,404804
Census Tract 4048.05; Los Angeles County; California,2972,60868,1493,1277,1277,06,037,404805
Census Tract 4048.06; Los Angeles County; California,5862,76555,3422,2533,2533,06,037,404806
Census Tract 4049.01; Los Angeles County; California,5640,91364,3667,2730,2730,06,037,404901
Census Tract 4049.02; Los Angeles County; California,3358,78056,2023,1472,1472,06,037,404902
Census Tract 4049.03; Los Angeles County; California,2520,71023,1600,1123,1123,06,037,404903
Census Tract 4050.01; Los Angeles County; California,5621,77969,3815,2396,2396,06,037,405001
Census Tract 4050.02; Los Angeles County; California,3346,69609,1970,1484,1484,06,037,405002
Census Tract 4051.01; Los Angeles County; California,5120,74400,3302,2325,2325,06,037,405101
Census Tract 4051.02; Los Angeles County; California,4902,65119,3102,2404,2404,06,037,405102
